Record number,Call number,Title,Published,Description,Note,Summary,Reproduction note,biographical or historical note,Ownership and custodial history,Subject - name,Subject - topical ,Link
.b17990567,BA1011/473,"Portrait of W. Plant, Corporal",1914-1918.,1 photonegative :,,"W. Plant is seated, wearing puttees and collar badges, and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Plant, W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,473PD.jpg"
.b17990609,BA1011/474,Portrait of W. Plumber,1914-1918.,1 photonegative :,,"W. Plumber is seated, wearing puttees, badges and a Field Service cap, and with 16th Infantry on his epaulette.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Plumber, W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,474PD.jpg"
.b17990749,BA1011/475,Portrait of Forrest Edward Palmer,1915-1916.,1 negative :,,"F.E. Palmer, of the 10th Australian Light Horse, is half seated, wearing a slouch hat with plumes, bandolier, belt and pouch, leggings and spurs, and holding a riding crop. Palmer enlisted 16/11/1915 and left WA on 16/2/1916.;Adopted by Andrew Brown.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Palmer, Forrest Edward",Soldiers;Horsemen and horsewomen;Spurs;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,475PD.jpg"
.b17990774,BA1011/476,Portrait of E.A. Peaks,1914-1918.,1 photonegative :,,"E.A. Peaks is seated, wearing a Field Service cap, collar badge and puttees, and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Peaks, E. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,476PD.jpg"
.b17993921,BA1011/477,Portrait of A.E. Pady,1914-1918.,1 photonegative :,,"A.E. Pady is standing, wearing a Field Service cap, collar badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Pady, A. E.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,477PD.jpg"
.b17993933,BA1011/478,Portrait of J.A. Port,1914-1918.,1 photonegative :,,"J.A. Port is standing, wearing a Field Service cap with badge, and puttees, and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Port, J. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,478PD.jpg"
.b17993945,BA1011/479,Portrait of W.H. Petchell,1914-1918.,1 photonegative :,2 images on the one plate.,"Head and shoulders view of W.H. Petchell, wearing a slouch hat with badges.;Adopted by Mr Petchell.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Petchell,W. H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,479PD.jpg"
.b17993957,BA1011/480,"Portrait of Peck, or Peek or Peak and Rowley of the 28th Battalion",1915-1918.,1 negative :,,"Peck or Peek or Peak [the handwriting is not clear] and Rowley are wearing Field Service caps and puttees. One is an amputee and is seated holding crutches, the other is standing holding a stick and smoking a pipe. There was no Peak in the 28th Battalion but there was a M.J. Peck and H.E.L. Peek.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Rowley, Arthur John;Peak;Peek;Peck",Soldiers;Amputees;People with disabilities;Crutches;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,480PD.jpg"
.b17993969,BA1011/481,Portrait of Frank Parker,1914-1918.,1 photonegative :,2 images on 1 plate.,"Head and shoulders view of Frank Parker, who is wearing a slouch hat with badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Parker, Frank",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,481PD.jpg"
.b17993970,BA1011/483,Portrait of Prentice,1914-1918.,1 photonegative :,,"Prentice is standing, wearing puttees and a slouch hat.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S),Prentice,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,483PD.jpg"
.b17993982,BA1011/482,"Portrait of four men, one of whom is named Plater",1914-1918.,1 photonegative :,,This portrait is of four men one of whom is named Plater. Two are seated and two standing. All are wearing puttees.;Adopted by Phillip Crabb.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,Plater,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,482PD.jpg"
.b17993994,BA1011/484,Portrait of Robert Pennington,1914,1 negative :,,"R. Pennington is seated, wearing collar badges, a bandolier, leggings and spurs. Enlisted 1914 aged 26 years. Died of wounds 10 July 1915 and was buried at sea. Commemorated on The Lone Pine Memorial (Panel II), Gallipoli, Turkey.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.","Professional portrait taken at the Dease Studios, Barrack Street, Perth.",Negative plate box 172 (S).,"Pennington, Robert,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,484PD.jpg"
.b17994007,BA1011/485,Portrait of F.E. Palmer,1914-1918.,1 photonegative :,,"F.E. Palmer, of the 10th Australian Light Horse, is wearing a slouch hat with plumes, leggings and spurs, belt and pouches, and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 172 (S).,"Palmer, F E",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,485PD.jpg"
.b1800264x,BA1011/575,Portrait of J.L. Evans,1914-1918.,1 photonegative :,,J.L. Evans is seated and showing only the upper torso. He is wearing a Field Service cap with badges.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 212 (S).,"Evans, J. L.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,575PD.jpg"
.b18002766,BA1011/574,"Portrait of Shaw, McLernon and one other soldier",1914-1918.,1 photonegative :,,"Portrait is of three soldiers, the centre one being identified as Shaw, and one of the others as McLernon. All are wearing puttees and appear to be Sergeants or Sergeant Majors.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 212 (S).,Shaw;McLernon,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,574PD.jpg"
.b1800278x,BA1011/576,Portrait of F.M. Copeland,1914-1918.,1 photonegative :,,The portrait of F.M. Copeland is half length.  He has badges on his collar.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 212 (S).,"Copeland, F. M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,576PD.jpg"
.b18002791,BA1011/577,Portrait of John Henry Jones,1914-1918.,1 photonegative :,,The portrait of John Henry Jones is half length. He has badges on his collar.;Adopted by John & Jan Bishop.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 212 (S).,"Jones, John Henry",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,577PD.jpg"
.b18002808,BA1011/579,Portrait of J.W. McKenzie,1914-1918.,1 photonegative :,,"J.W. McKenzie is standing, wearing puttees and a Field Service cap with badges, and holding a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 212 (S).,"McKenzie, J. W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,579PD.jpg"
.b1800281x,BA1011/578,"Portrait of three non commissioned officers, one identified as McLernon",1914-1918.,1 photonegative :,,"Portrait is of three soldiers, two seated and one standing. One is identified as  being McLernon. All appear to be Sergeants or Sergeant Majors.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 212 (S).,McLernon,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,578PD.jpg"
.b18002821,BA1011/582,Portrait of F.M. Copeland,1914-1918.,1 photonegative :,,The portrait of F.M. Copeland is half length. He has badges on his collar and wearing a great coat.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 212 (S).,"Copeland, F. M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,582PD.jpg"
