id,TITLE,PUBL/DATES,DESCRIPT.,HISTORY,SUBJECT,SOURCE,ARTICLE URL
b22002352,[Lieutenant H. G. Garland],1916,reference in newspaper;portrait,"Lieutenant H.G. Garland, an Adelaide journalist, enlisted with the A.I.F.  awarded a Distinguished Conduct Medal.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Garland, Hugh G. (Hugh Gordon), 1894-1918;World War, 1914-1918 -- South Australia","Chronicle, 11 November 1916, p. 42, col. d",http://nla.gov.au/nla.news-article87530093
b22003071,[Private H. W. Richards],1918,"reference in newspaper;portrait (17 August, p. 26)","Private, 11th Reinforcements, 10th Battalion  from Woodville  killed in action 7 July 1918, aged 29  electricity meter inspector  third son of Mr and Mrs W. Richards.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Richards, Harold William, 1889-1918;World War, 1914-1918 -- South Australia","Chronicle, 10 August 1918, p. 39, col. d;Chronicle, 17 August 1918, p. 26, col. b  p. 39, col. a",http://nla.gov.au/nla.news-article87556693;http://nla.gov.au/nla.news-article87555267;http://nla.gov.au/nla.news-article87555124
b22004099,[Private A. J. McLaren],1916,reference in newspaper;portrait,"Private  son of Mr W. McLaren of Boort, Victoria, nephew of Mr and Mrs D. McLaren of Gawler  born 17 December 1895 in Victoria  carpenter in the building trade  died of gunshot wounds 14 October 1916, France.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","McLaren, Alexander James, 1895-1916;World War, 1914-1918 -- South Australia","Chronicle, 11 November 1916, p. 43, col. d",http://nla.gov.au/nla.news-article87530168
b2205862x,[Private Maurice Theobald],1918,"reference in newspaper;portrait (2 November, p. 26)","Private, service number 4863, 43rd Battalion  from Meadows  killed in action 26 August 1918, France, aged 23 years and 7 months  banker  eldest son of Rev. Thomas and Mrs Theobald, fiance of Laura Genge.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Theobald, Maurice James, 1895-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. e;Chronicle, 21 September 1918, p. 27, col. c;Chronicle, 2 November 1918, p. 26, col. d  p. 38, col. b",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87555964;http://nla.gov.au/nla.news-article87549297;http://nla.gov.au/nla.news-article87549208
b22063456,[Lieutenant Frank Rosevear],1918,reference in newspaper;portrait,"Lieutenant (acting Captain), 13th London Regiment  from Meadowside  killed in action 23 August 1918, aged 25  brother of L. A. Wilde and Captain Archie Rosevear (invalided out, London), son of Mrs E. C. Rosevear.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Rosevear, Frank, -1918.;World War, 1914-1918 -- South Australia","Chronicle, 7 September 1918, p. 27, col. c;Chronicle, 14 September 1918, p. 24, col. a  p.38, col. d",http://nla.gov.au/nla.news-article87550283;http://nla.gov.au/nla.news-article87553854;http://nla.gov.au/nla.news-article87553882
b22063523,[Private Harry Emsley],1918,reference in newspaper;portrait (page 24),"Private, 16th Battalion  from Prospect  killed in action 8 August 1918, France, aged 34  fourth son of Mrs J.E. Emsley.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Emsley, Harry, 1884-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 24, col. b  p. 38, col. c",http://nla.gov.au/nla.news-article87553854;http://nla.gov.au/nla.news-article87553882
b22063535,[Private L. Dodd],1918,reference in newspaper;portrait,"Private, 43rd Battalion, service number 4776  from Broken Hill  killed in action 22 August 1918, France, aged 20.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Dodd, Lindsay Ray, 1897-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 24, col. b;Chronicle, 28 September 1918, p. 38, col. d;Chronicle, 19 October 1918, p. 37, col. d",http://nla.gov.au/nla.news-article87553854;http://nla.gov.au/nla.news-article87550065;http://nla.gov.au/nla.news-article87549744
b22063560,[Lieutenant Sydney C. Stockham],1918,reference in newspaper;portrait,"Lieutenant, 27th Battalion  from Fullarton  died of wounds 18 August 1918, France, aged 28  youngest son of G. W. and S. Stockham.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Stockham, Sydney C., 1889-1918;World War, 1914-1918 -- South Australia","Chronicle, 7 September 1918, p. 27, col. c;Chronicle, 14 September 1918, p. 24, col. c  p. 38, col. d",http://nla.gov.au/nla.news-article87550283;http://nla.gov.au/nla.news-article87553854;http://nla.gov.au/nla.news-article87553882
b22066421,[Lieutenant Alfred H. Moss],1918,reference in newspaper;portrait,"Lieutenant, original 10th Battalion  from Smithfield  drowned from the torpedoed hospital ship Warilda, aged 21  second son of Mrs A.M. Moss  brother of Howard and Cyril.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Moss, Alfred Hubert, 1896-1918;World War, 1914-1918 -- South Australia","Chronicle, 17 August 1918, p. 27, col. c;Chronicle, 14 September 1918, p. 24, col. d",http://nla.gov.au/nla.news-page8611183;http://nla.gov.au/nla.news-article87553854
b22079786,[Private Claud William Mason],1918,reference in newspaper;portrait,"Private, service number 4169, D Company, 48th Battalion  born 24 November 1894  from O'Halloran Hill  killed in action 8 August 1918, France  youngest son of J.W. and E.A. Mason  student surveyor.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Mason, Claud William, 1894-1918;World War, 1914-1918 -- South Australia","Chronicle, 31 August 1918, p. 27, col. e;Chronicle, 28 September 1918, p. 34, col. e  p. 39, col. a;Chronicle, 14 September 1918, p. 24, col. d",http://nla.gov.au/nla.news-article87552093;http://nla.gov.au/nla.news-article87550081;http://nla.gov.au/nla.news-article87553854
