Record number,Call number,Title,Published,Description,Note,Summary,Subject - Person,Subject - Topical,Series,Link
.b19930410,1364B/32,In loving memory of Private Norman Isaac Coote,1917,1 photomechanical print :,,"Private Coote was no.436, 32nd Battalion. He enlisted at Collie 12 May 1916 and died in Belgium 12 Oct. 1917.","Coote, Norman Isaac,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes ",http://purl.slwa.wa.gov.au/slwa_b1993041_1
.b19930422,1364B/24,In loving memory of Private Jacob Christinger,1916,1 photomechanical print :,,Private Christinger no. 4048 of the 32nd Battalion enlisted in Collie in May 1916 and was killed at Paschendale 28th October 1917. He signed his enlistment papers as Jack Christinger (National Archives of Australia),"Christinger, Jacob,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes ",http://purl.slwa.wa.gov.au/slwa_b1993042_1
.b31086299,1364B/1,In loving memory of Sapper Charles Henry Abbott,1917,1 photomechanic print :,,Sapper Charles Abbott No. 4261 No. 6 Tunnellers enlisted in Kalgoorlie in February 1916 aged 40. He died of wounds 26 May 1917 in France and is buried near Loos.,"Abbott, Charles Henry,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108629_1
.b31086305,1364B/2,In loving memory of Private Breally Adams,1917,1 photomechanic print :,,"Private Breally Adams No. 2827 5th Pioneer Battalion, Reinforcement 6 enlisted in Boulder 2 May 1916 aged 39. He was killed in action 12 October 1917 and is buried at Ypres.","Adams, Breally,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108630_1
.b31086317,1364B/3,In loving memory of Gunner James Alexander [Gordon],1918,1 photomechanic print :,Army records show that the surname Gordon has been omitted from this card.,"James Alexander Gordon No. 3369 42nd Battery, 11th Battalion, 4th Division enlisted in Pingelly July 1915 aged 19. He was killed in action 3 October 1918 in France.","Gordon, James Alexander,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108631_1
.b31086329,1364B/4,In loving memory of Private Ernest Allen,1917,1 photomechanic print :,,"Private Ernest Allen No. 3026 48th Battalion enlisted at Beverley November 1916. Killed in action 12 October 1917, buried in Polygon Wood, Belgium.","Allen, Ernest,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108632_1
.b31086330,1364B/5,In loving memory of Private Edward Archer,1915,1 photomechanic print :,,Private Edward Archer No. 760 16th Battalion enlisted at Collie 24 September 1914 aged 21 years. Killed at Gallipoli 27 August 1915.,"Archer, Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108633_1
.b31086342,1364B/6,In loving memory of Private Joseph William Aubrey,1918,1 photomechanic print :,,"Private Joseph William Aubrey, 44th Battalion, enlisted in York 16 September 1916 aged 26 years. Died after being gassed on 23 October 1918.","Aubrey, Joseph William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108634_1
.b31086366,1364B/7,In loving memory of Private Gilbert Robert Barr,1917,1 photomechanic print :,,"Private Gilbert Robert Barr No. 5995 16th Battalion, 19th Reinforcements enlisted at Doodlakine in March 1916. Died of wounds received at Ypres 25 September 1917 at the 2nd Australian Hospital Boulogne on 31 October 1917 (note official record has 31 October while this obituary cites 30 October as date of death).","Barr, Gilbert Robert,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108636_1
.b31086378,1364B/8,In loving memory of Driver Herbert Alexander Beard,1917,1 photomechanic print :,,"Private Herbert Beard No. 21968 30th Battery, 8th Brigade A.F.A.  from Donnybrook, enlisted 4 January 1916. Killed in action at Ypres 25 September 1917 aged 26 years.","Beard, Herbert Alexander,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108637_1
.b31086391,1364B/10,In loving memory of Private George Hamilton Bennett,1916,1 photomechanic print :,,"Private George Hamilton Bennett No. 1204 [ie 2186], 28th Battalion. Enlisted at Kalgoorlie 1 April 1915. Killed in action 8 April 1916, thought to be the first Australian to die in France. (see http://www.aif.adfa.edu.au )","Bennett, George Hamilton,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108639_1
.b31086408,1364B/9,In loving memory of Private William Bell,1917,1 photomechanic print :,,"Private William Bell No. 2348, 28th Battalion, 5th Reinforcement enlisted 2 August 1915. Died of wounds at Ypres 22 December 1917.","Bell, William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108640_1
.b31086421,1364B/11,In loving memory of Private Albert Victor Berry,1918,1 photomechanic print :,,"Private Albert Berry No. 2286, 51st Battalion, 4th Reinforcement enlisted 18 February 1916. Killed in action 27 April 1918.","Berry, Albert Victor,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108642_1
.b31086433,1364B/12,In loving memory of Private Bertie Frederick Bowler,1916,1 photomechanic print :,,Private Bertie Bowler No. 5057 11th Battalion enlisted at Bridgetown November 1915. Killed in action 23 July 1916 at Pozieres.,"Bowler, Bertie Frederick,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108643_1
