Bibliographic record number,Collection number,Creator,Title,Date of creation,Description,Notes,Summary,Subject: Personal,Subject: Topical,Subject: Geographical,Captions for URLs,URLs
b11141888,,"Duns, Wm.",Bombing :,[192-?],"55 p., [1] folded leaf of plates :",Cover title.,,,Bombardment;Grenades;Explosives;Bombs;Intrenchments,,Bombing;Bombing,http://purl.slwa.wa.gov.au/slwa_b1114188_1;http://purl.slwa.wa.gov.au/slwa_b1114188_2;http://purl.slwa.wa.gov.au/slwa_b1114188_1.png;http://purl.slwa.wa.gov.au/slwa_b1114188_2.png
b1165160x,,,Westralia gift book :,1916,192 p. :,,"Various artists and writers from that state produced stories, verses, drawings and articles, at no cost, for the publication. Co-edited by Walter Murdoch, W. Siebenhaar, Alfred Carson and Alfred Chandler. The foreword is written by Walter Murdoch, Professor of English at the University of Western Australia. Lieutenant Hugo Throssell VC, who had been invalided home, was asked to contribute an article to the Gift Book outlining his time with the 10th Light Horse Regiment on Gallipoli in 1915 and especially the incident on 29 August 1915 for which he was awarded the Victoria Cross. This provides one of the most detailed personal accounts from an Australian VC recipient at Gallipoli of the events surrounding the achievement of the award. ","Throssell, Hugo,","World War, 1914-1918;World War, 1914-1918;Australian literature",,"Westralia gift book, 1916",http://purl.slwa.wa.gov.au/slwa_b1165160_288;http://purl.slwa.wa.gov.au/slwa_b1165160_288.png
b12257138,,Returned Sailors' and Soldiers' Imperial League of Australia.,The W.A. digger book /,1929,156 p. :,"Review published: The Mail (Perth, W.A.), 28.11.29.;Digitised as part of the World War I Centenary Project.",,,"Veterans;World War, 1914-1918;World War, 1914-1918;World War, 1914-1918",,The W.A. digger book,http://purl.slwa.wa.gov.au/slwa_b1225713_1;http://purl.slwa.wa.gov.au/slwa_b1225713_1.png
b12463863,,,Carry on! :,[1940],103 p. :,,,,"World War, 1914-1918;World War, 1914-1918",,Carry on! : the traditions of the AIF,http://purl.slwa.wa.gov.au/slwa_b1246386_110;http://purl.slwa.wa.gov.au/slwa_b1246386_110.png
b12492139,,"Leake, R. E.,",Letters of a V.A.D.,[1918],313 p.,A handwritten note on an old catalogue card in the Battye Library said that R.E. Leake is a nom de plume for Mollie Skinner.,,"Skinner, M. L. ","Military nursing;World War, 1914-1918",,Letters of a V.A.D.,http://purl.slwa.wa.gov.au/slwa_b1249213_327;http://purl.slwa.wa.gov.au/slwa_b1249213_327.png
b13488429,,,The Australian and New Zealand expeditionary forces :,1915 [i.e. 1920],[25] p. (1 folded) :,"This publication was prepared early in 1915. When a copy was submitted to the censor he forbade its issue. So the work has taken five years to reach the public, finally being published in 1920.",,,Soldiers,Albany (W.A.),ANZ expeditionary forces;ANZ expeditionary forces,http://purl.slwa.wa.gov.au/slwa_b1348842_1;http://purl.slwa.wa.gov.au/slwa_b1348842_2;http://purl.slwa.wa.gov.au/slwa_b1348842_1.png;http://purl.slwa.wa.gov.au/slwa_b1348842_2.png
b13502852,,,Anzac Cottage :,1916],[28] p. :,Cover title.,,,"World War, 1914-1918",,Anzac Cottage,http://purl.slwa.wa.gov.au/slwa_b1350285_1;http://purl.slwa.wa.gov.au/slwa_b1350285_1.png
b13607194,,"Duns, Wm.","A lecturette on bayonet exercise, bayonet fighting and attacking trenches as taught at Blackboy Camp, West Australia.",1916,18 p. :,,,,Military education;Bayonets,,Bayonet exercise,http://purl.slwa.wa.gov.au/slwa_b1360719_1;http://purl.slwa.wa.gov.au/slwa_b1360719_1.png
b1363298x,,,"Western Australia's part in the Great War, 1914-1918.",1920,96 p. :,Includes advertisements.;To be completed in twelve parts.;Digitised as part of the World War I Centenary Project.,,,"World War, 1914-1918;World War, 1914-1918",,Western Australia's part in the Great War,http://purl.slwa.wa.gov.au/slwa_b1363298_1;http://purl.slwa.wa.gov.au/slwa_b1363298_1.png
b13809465,,,Bank of New South Wales roll of honour.,1921,418 p. :,"Half-title: Bank of N.S.W. roll of honour.;Only the men who were born, lived or worked in Western Australia have been indexed on this record.",,"Allan, Morton McLeod,;Boucher, Herbert William John,;Cameron, Gordon Carmichael,;Fels, Francis Vernon,;Finch, Herbert Lionel Ingle,;Griffiths, Sidney John,;Guy, Alfred Alexander,;Kirton, Alec Mann,;Lea, Harry Noel,;Player, Leslie Martyn,;Pretty, Noel Hardy,;Robertson, Alexander Holcombe,;Sturken, John Ferdinand,;Walker, Westby Lionel,;Woods, William Henry Rankin,","World War, 1914-1918;Soldiers",,"Bank of New South Wales roll of honour, WWI, 1914-1918",http://purl.slwa.wa.gov.au/slwa_b1380946_430;http://purl.slwa.wa.gov.au/slwa_b1380946_430.png
b16108644,,,"Blackboy Hill Y.M.C.A. military social centre, Western Australia.",1915?],16 p. :,"""Opened on Saturday, October 16th, 1915, by Sir John Forrest."".;Cover title.",Formerly PR715/3 and PR885.,,"World War, 1914-1918",,Blackboy Hill,http://purl.slwa.wa.gov.au/slwa_b1610864_1;http://purl.slwa.wa.gov.au/slwa_b1610864_1.png
b1647305x,,,"The Australian Sector, Gallipoli Peninsula, September 1915",[1915?],1 map ,"Map shows Turkish and Allied lines and names. Relief shown by contours and spot heights.;""E.A.E.A."".",,,"World War, 1914-1918",Gallipoli (Turkey),"The Australian Sector, Gallipoli Peninsula, September 1915",http://purl.slwa.wa.gov.au/slwa_b1647305_1;http://purl.slwa.wa.gov.au/slwa_b1647305_1.png
