PID,Title of image,Temporal,Creator,Image caption,Full name and service number (from National Archives of Australia),Full name from embarkation roll (from Australian War Memorial) 2,NAA identifier,Embarkation ship (from Australian War Memorial) 2,Date of embarkation (from Australian War Memorial) 2,Provenance,Image number,Copyright statement,Conditions of use,Source,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Link to permananent portrait image
1377735,Portrait of Gunner E. Gaffney,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Second son of Mr. E. Gaffney, Committeeman (C.T.A. of Qld.).","Edward Applebee Gaffney, Service Number - 5656",Edward Appleby Gaffney,NAA person ID: 170453,HMAT Nestor A71,1915-10-11T00:00:00Z,"Photograph appears on page 3 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0003-0002,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/464993
1377739,Portrait of Gunner C.M. Pines,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 2nd Section, 2nd D.A.C. Artillery. Sons of Mr.R.V.Pines, Club Member, C.T.A. of Queensland.","Cedric Moreton Pines [AKA PINES Cedric Moreten], Service Number - 9010",Cedric Moreton Pines,NAA person ID: 277769,HMAT Port MacQuarie A39,16/11/1915,"Photograph appears on page 3 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0003-0003,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/464994
1377743,Portrait of Signaller R.R. Pines,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Headquarters Staff, 26th Battalion. Sons of Mr.R.V.Pines, Club Member, C.T.A. of Queensland.","Reginald Ralph Pines, Service Number - Lieutenant/646",Reginald Ralph Pines,NAA person ID: 277772,HMAT Aeneas A60,29/06/1915,"Photograph appears on page 3 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0003-0004,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/464995
1377747,Portrait of Gunner W.M. Russell,1914-1920,Unidentified,Caption (from 'The Australasian Traveller'): 3rd Field Artillery Brigade. Son of Mr. S. Russell (C.T.A. of Qld.).,"Walter Milne Russell, Service Number - 5124",Walter Milne Russell,NAA person ID: 304851,HMAT Ballarat A70,9/09/1915,"Photograph appears on page 3 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0003-0005,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/464996
1377751,Portrait of A.D. Abercrombie,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Wounded at the Dardanelles. Son of Mr. D.J. Abercrombie, Club Member, C.T.A. of Qld.","Allan Douglas Abercrombie, Service Number - 26",Allan Douglas Abercrombie,NAA person ID: 67757,HMAT Star of England A15,24/09/1914,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0001,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/464997
1377755,Portrait of Private G.F. Addison,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 9th Infantry. Wounded at first landing, but now convalescent. Son of Mr. G.H.M. Addison, Club Member, C.T.A. of Qld.","George Frederick Addison, Service Number - Lieutenant/200",George Frederick Addison,NAA person ID: 68810,HMAT Omrah A5,24/09/1914,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0002,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/464998
1377759,Portrait of Robert W. Chadwick,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Son of Mr. W.B. Chadwick, Club Member, C.T.A. of Qld.","Robert Walter Chadwick, Service Number - 9388",Robert Walter Chadwick,NAA person ID: 116153,HMAT Persic A34,18/11/1915,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0003,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/464999
1377763,Portrait of Driver E.A. Coakes,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 5th Brigade Australian Field Artillery. Sons of Mr. W.T. Coakes, Club Member, C.T.A. of Queensland.","Eric Arthur Coakes, Service Number - 7484",Eric Arthur Coakes,NAA person ID: 121681,HMAT Persic A34,18/11/1915,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0004,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465000
1377767,Portrait of Motor Despatch Rider J.C. Coakes,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 5th Brigade Australian Field Artillery. Sons of Mr. W.T. Coakes, Club Member, C.T.A. of Queensland.","Jack Colin Coakes, Service Number - 7486",Jack Colin Coakes,NAA person ID: 121683,HMAT Persic A34,18/11/1915,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0005,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465001
1377771,Portrait of Captain A.E. Harte,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Officer commanding 17th A.A.S.C., 7th Infantry Bgde. Club Member, C.T.A. of Queensland.","Albert Edward Harte, Service Number - Major",Albert Edward Harte,NAA person ID: 194128,HMAT Ascanius A11,24/05/1915,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0006,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465002
