Creator,Title,Edition,Publication details,Physical description,Notes,Contents,Summary,Subject - Personal name,Subject - Corporate name,Subject - Topical,Subject - geographic,Subject - Form/Genre,Subject - Uniform title,Other creator,ISBN,Series,Other formats,URL
"Leon, George B.","Greece and the Great Powers, 1914-1917 /by George B. Leon",,"Thessaloniki :Institute for Balkan Studies,1974","xiv, 521 p. ;25 cm.",Errata sheet inserted. ; Includes index.,,,,,"World War, 1914-1918--Greece",Greece--Foreign relations--1863-1917 ; --Greece--Politics and government--1913-1917,,,,,<Publications> - Institute for Balkan Studies ;143,,
"Liddle, Peter H.,1934- ",Men of Gallipoli :the Dardanelles and Gallipoli experience August 1914 to January 1916 /Peter Liddle,,"Newton Abbot :David & Charles,c1988","272p, <16>p of plates :ill., ports, 1map ;22cm.","World War 1. Gallipoli campaign. Military operations by Allied forces (BNB/PRECIS) ; Originally published: London : Allen Lane, 1976.",,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula",,,,,0715392069 (pbk),A David & Charles military book,,
"Hundleby, Maxwell ",The German A7V tank and the captured British Mark IV tanks of World War I /Max Hundleby & Rainer Strasheim,,"Sparkford, Nr. Yeovil, Somerset :Haynes Pub. Group ;Newbury Park, Calif., USA :Haynes Publications,1990",240 p. :ill ;28 cm.,Spine title: The German A7V tank. ; Includes index.,,,,,"World War, 1914-1918--Tank warfare ; --World War, 1914-1918--Germany ; --World War, 1914-1918--Equipment and supplies ; --A7V (Tank)--History ; --Mark IV (Tank)--History",,,,"Strasheim, Rainer",085429788X,A Foulis military book,,
"Albrecht-Carrie, Rene,1904- ",The meaning of the First World War,,"Englewood Cliffs, N.J. :Prentice-Hall,<1965>","x, 181 p. :maps ;21 cm.",Bibliography: p. 173-175.,,,,,"World War, 1914-1918--Influence",,,,,,A Spectrum book,,
"Bass, Herbert J. ","America's entry into World War I :submarines, sentiment, or security? /Edited by Herbert J. Bass",,"New York :Holt, Rinehart and Winston,<1964>",122 p. :illus. ;24 cm.,'Suggestions for further reading': p. 120-122.,,,,,"World War, 1914-1918--United States",,,,,,American problem studies,,
"Snyder, Louis L.(Louis Leo),1907- ",Historic documents of World War I,,"Princeton, N. J. :Van Nostrand,<1958>",192 p. ;18 cm.,,,,,,"World War, 1914-1918--Sources",,,,,,An Anvil original ;no. 33,,
"French, Jackie,1953- ",The donkey who carried the wounded /Jackie French.,,"Pymble, N.S.W. :Angus & Robertson,2009.",203 p. :maps ;20 cm.,"""The famous story of Simpson and his donkey - a true ANZAC legend""--Cover.",,"This is the story of a small unassuming donkey. It's also the story of Gallipoli, of Jack Simpson, and New Zealander stretcher-bearer Richard Henderson, who literally took up the reins after Simpson's death. Exhaustively researched, it gives a new depth to our understanding of this story of Anzac heroism.","Kirkpatrick, John Simpson,--1892-1915--Juvenile literature.","Australia.--Army.--Field Ambulance, 3rd--Juvenile literature.","Donkeys--Juvenile literature. ; --Human-animal relationships--Juvenile literature. ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Juvenile literature.",,Historical fiction.--gsafd,,,9780732288396 (pbk.),Animal stars ;4,,
"Hurley, Frank,1885-1962. ","The diaries of Frank Hurley, 1912-1941 /edited by Robert Dixon and Christopher Lee.",,"London ;New York :Anthem Press,c2011.","xlii, 259 p. :ill., ports. ;23 cm.",Formerly CIP.Uk,"Sledging diary, the Australasian Antarctic expedition (November 1912 - January 1913) -- Imperial Trans-Atlantic Expeditionary Diary (November 1914 - April 1917) -- Great War Diary (August 1917 - August 1918) -- Tour Diary - In the grip of the polar pack-ice (December 1919 - January 1920) -- Torres Strait and Papua Expedition Diaries (December 1920 - August 1921) -- Papua Expedition Diary (August 1922 - January 1923) -- World War II and Middle East Diaries (September 1940 - October 1941).",,"Hurley, Frank,--1885-1962--Diaries.",Endurance (Ship),"Explorers--Biography. ; --Photographers--Biography. ; --World War, 1914-1918--Campaigns--Pictorial works. ; --World War, 1939-1945--Campaigns--Pictorial works.",Antarctica--Discovery and exploration--British. ; --Papua New Guinea--Description and travel. ; --Middle East--Description and travel.,,,"Dixon, Robert. ; Lee, Christopher.",9780857287748 (hardcover : alk. paper) ; 9780857287755 (papercover : alk. paper),Anthem studies in travel,,
 ,AFV's of World War One /edited by Duncan Crow.,,"Windsor, England :Profile Publications,1970.","viii, 164 p. :ill., (some col.) ;26 cm.",Includes index.,,,,,"Armored vehicles, Military. ; --World War, 1914-1918--Equipment and supplies.",,,,"Crow, Duncan.",,Armoured fighting vehicles of the world ;v. 1,,
"Roberts, Chris,1945-,author. ",The landing at Anzac :1915 /Chris Roberts.,,"Sydney :Big Sky Publishing,2013. ; ©2011.","192 pages :illustrations (some colour), maps, portraits ;25 cm.",,,"Chris Roberts takes a forensic look at the 'Landing at Anzac, 1915', providing a tactical analysis of the terrain, scrutiny of the misplaced landing and the two fateful decisions that determined the initial course of the battle, and examines the performance of both Anzac and Turkish commanders and troops.",,Australia.--Army.--Australian and New Zealand Army Corps--History.,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula.","Gallipoli Peninsula (Turkey)--History, Military--20th century.",,,,9781922132208 (pbk.),Australian army campaigns series ;12,,
