RECORD #(BIBLIO),RECORD URL,XML,NAME,TITLE,DATES/PUBLICATION DETAILS,DESCRIPTION/QUANTITY,SUMMARY,SUBJECT,SERIES/COLLECTION,IMAGE
b20182235,http://www.catalog.slsa.sa.gov.au/record=b2018223,http://www.catalog.slsa.sa.gov.au/xrecord=b2018223,,Members of the Imperial Force at Morphettville camp,[approximately 1915],Photograph  20 cm x 15.5 cm,GENERAL: 'For King and country' members of the Imperial Force taking the oath at Morphettville camp.,"World War, 1914-1918;Soldiers -- South Australia",General Collection,http://collections.slsa.sa.gov.au/mpcimg/68500/B68281.htm
b20194730,http://www.catalog.slsa.sa.gov.au/record=b2019473,http://www.catalog.slsa.sa.gov.au/xrecord=b2019473,"Wooler, James",Voluntary Aid nurses at Balaklava,[approximately 1914],RESERVE 1;Postcard  8.3 cm x 13.1 cm,A group of V.A.D. at Balaklava.,"Australia. Army. Voluntary Aid Detachments;Nurses -- South Australia -- Balaklava;World War, 1914-1918 -- Medical care -- South Australia -- Balaklava",Balaklava Collection,http://collections.slsa.sa.gov.au/mpcimg/47250/B47080.htm
b20201746,http://www.catalog.slsa.sa.gov.au/record=b2020174,http://www.catalog.slsa.sa.gov.au/xrecord=b2020174,,"Monument, Blinman",1920,Photograph  8 cm x 6 cm,Cairn erected by schoolchildren to commemorate WWI.,"Memorials -- South Australia -- Blinman;World War, 1914-1918 -- Monuments -- South Australia -- Blinman;Cairns -- South Australia -- Blinman",Blinman Collection,http://collections.slsa.sa.gov.au/mpcimg/35500/B35368.htm
b20215952,http://www.catalog.slsa.sa.gov.au/record=b2021595,http://www.catalog.slsa.sa.gov.au/xrecord=b2021595,,"Church, Cleve",1914,Photograph  20.2 cm x 12.9 cm,Interior of Church during the war years.,"St. Michael and All Angels (Cleve, S.A.);Interior architecture -- South Australia -- Cleve;World War, 1914-1918 -- South Australia -- Cleve",Cleve Collection,http://collections.slsa.sa.gov.au/mpcimg/29500/B29271.htm
b20216038,http://www.catalog.slsa.sa.gov.au/record=b2021603,http://www.catalog.slsa.sa.gov.au/xrecord=b2021603,,"Memorial, Cleve",1919,Photograph  14.5 cm x 9 cm,Unveiling of World War I Memorial.,"War memorials -- South Australia -- Cleve;World War, 1914-1918 -- Monuments -- South Australia -- Cleve",Cleve Collection,http://collections.slsa.sa.gov.au/mpcimg/31250/B31140.htm
b20219313,http://www.catalog.slsa.sa.gov.au/record=b2021931,http://www.catalog.slsa.sa.gov.au/xrecord=b2021931,,Coromandel Club,[approximately 1914],Photograph  20.8 cm x 12.8 cm,Coromandel Red Cross Club: World War I.,"Australian Red Cross Society. South Australian Division;Nurses -- South Australia -- Coromandel Valley;World War, 1914-1918 -- War work -- South Australia -- Coromandel Valley",Coromandel Valley Collection,http://collections.slsa.sa.gov.au/mpcimg/32500/B32404.htm
b2023739x,http://www.catalog.slsa.sa.gov.au/record=b2023739,http://www.catalog.slsa.sa.gov.au/xrecord=b2023739,,"Soldiers, Gawler",[approximately 1914],Photograph (b&w print)  16.5 cm x 21.5 cm;C1,"The first six recruits for the 1914-18 war : Back Row: Arthur Robinson, Vernon Franklin, Leslie Hoare. Front Row: Arthur Beard, Cecil Hincks, Frank Scott (killed in action).","Soldiers -- South Australia -- Gawler;World War, 1914-1918",Gawler Collection,http://collections.slsa.sa.gov.au/mpcimg/47000/B46783.htm
b20237455,http://www.catalog.slsa.sa.gov.au/record=b2023745,http://www.catalog.slsa.sa.gov.au/xrecord=b2023745,,Gawler,1918,Photograph (b&w print)  14.3 cm x 21.6 cm;C1,March to celebrate end of 1914-18 War.,"Photographers -- South Australia -- Gawler;Parades -- South Australia -- Gawler;World War, 1914-1918 -- Peace",Gawler Collection,http://collections.slsa.sa.gov.au/mpcimg/47000/B46820.htm
b20243522,http://www.catalog.slsa.sa.gov.au/record=b2024352,http://www.catalog.slsa.sa.gov.au/xrecord=b2024352,"Smith, W. S., photographer.",Glenelg,[approximately 1919],Photograph (b&w print)  15.3 cm x 17.2 cm (image)   24.5 cm x 30.3 cm (mount);RESERVE 1 b,Convalescent home 'Anzac House' with wounded World War 1 returned soldiers in beds & nurses outside.,"Anzac House (Glenelg, S.A.);Veterans -- South Australia -- Glenelg;Hospitals, Convalescent -- South Australia -- Glenelg;World War, 1914-1918 -- Medical care -- South Australia -- Glenelg;Nurses -- South Australia -- Glenelg",Glenelg Collection,http://collections.slsa.sa.gov.au/mpcimg/49500/B49491.htm
b20255998,http://www.catalog.slsa.sa.gov.au/record=b2025599,http://www.catalog.slsa.sa.gov.au/xrecord=b2025599,"Smith, W. S., photographer.","Army Officers, Happy Valley Camp",1911,Photograph  29.8 cm x 19.1 cm;RESERVE 1 b;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier,"Group of Army Officers at a Happy Valley Camp, Easter, 1911, 10th Australian Infantry Regiment Militia, Adelaide Rifles. The Commanding Officer was Lt. Col. Le Mesurier. The man 6th from left in the back row is Hillary William Neale  third from the left in the middle row is Lieutenant Ernest Albert Warren. In the front row is W. R. McKeevor (on left), Francis Malcolm Blair, Murray Robertson Coghill, Stanley Price Weir (later 10th Battalion AIF), John James Hughes (later 32nd Battalion, AIF), Leonard Watkins Bickle and Oldham. Major Edward Castle Oldham (who died at Lone Pine on 25 April 1915) is third from the right in the front row. Believed to' 'represent the 2 SA infantry milita battalions of the period 1902-1912 ie the 10th Australin Infantry Regiment (10th AIR)  and the South Australian Infantry Regiment (SAIR)'.","McKeevor, William Rupert, 1877-1918;Blair, Francis Malcolm, 1860-1915;Coghill, Donald Murray Robertson, 1871-1922;Weir, Stanley Price, 1866-1944;Hughes, John James, 1875-1962;Bickle, Leonard Watkins, 1857-1921;Oldham, Edward Castle, 1876-1915;Warren, Ernest Albert, 1887-1916;South Australia. Army. Volunteer Military Force;World War, 1914-1918 -- South Australia;Military uniforms;Soldiers -- South Australia -- Happy Valley;Australia. Army. Infantry Regiment, 10th. Adelaide Rifles",Happy Valley Collection,http://collections.slsa.sa.gov.au/mpcimg/23250/B23148.htm
